Item,Function,Quantity,Description,PartNumber,Vendor
1,CONNECTOR,1,CONN HOUSING 5POS .100 W/LATCH,WM2903-ND,digikey
1,CONNECTOR,1,CONN HOUSING 5POS .100,WM2803-ND,digikey
2,CONNECTOR,10,CONN SOCKET 24-30AWG CRIMP 30AU,WM2572-ND,digikey
3,ENCODER,1,KIT ENCODER 2CH 1024CPR TH 1/4in,516-2752-ND,digikey
4,CABLE,1,CABLE 5COND 24AWG BLK 1M,T1344-1-ND,digikey
5,CABLE,4,CABLE MOLDED RG58/U 24in,290-1010-ND,digikey
