Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","SM1210",4.900000,-3.850000,270.000000,bottom
"R1","3.16k","SM1210",4.650000,-3.500000,270.000000,bottom
"R2","3.16k","SM1210",4.400000,-3.500000,90.000000,bottom
